,id,src_id,name,slug,primary_type,sub_type,addr_street,addr_city,addr_zip,contact_phone,lat_long
15,,2402,AMITA Health Saint Francis Hospital Evanston,amita_health_saint_francis_hospital_evanston,Hospital,General Hospital,355 Ridge Avenue,Evanston,60202,847-813-3712,"42.025354, -87.683316"
16,,3459,South Shore Hospital,south_shore_hospital,Hospital,General Hospital,8012 South Crandon  Avenue,Chicago,60617,773-356-5200,"41.7495643,-87.568713"
17,,5454,UHS Hartgrove Hospital,uhs_hartgrove_hospital,Hospital,Psychiatric Hospital,5730 West Roosevelt Road,Chicago,60644,773-413-1801,"41.865647, -87.767559"
18,,3152,Shriners Hospitals for Children - Chicago,shriners_hospitals_for_children_chicago,Hospital,Children's Speciality Care Hospital,2211 North Oak Park Avenue,Chicago,60707,773-622-5400,"41.9167786,-87.7946472"
19,,2303,St. Bernard Hospital,st_bernard_hospital,Hospital,General Hospital,326 West 64th Street,Chicago,60621,773-962-4073,"41.778732,-87.63298"
20,,5371,Thorek Memorial Hospital,thorek_memorial_hospital,Hospital,General Hospital,850 West Irving Park Road,Chicago,60613,773-975-6867,"41.9545528,-87.6522249"
21,,3897,University Of Chicago Medical Center,university_of_chicago_medical_center,Hospital,General Hospital,5841 South Maryland Avenue,Chicago,60637,773-702-1246,"41.7888352,-87.6048658"
22,,5181,AMITA Health Saint Joseph Hospital Chicago,amita_health_saint_joseph_hospital_chicago,Hospital,General Hospital,2900 North Lake Shore Drive,Chicago,60657,773 665 3151,"41.9348795,-87.6367874"
23,,1289,Loretto Hospital,loretto_hospital,Hospital,General Hospital,645 South Central Avenue,Chicago,60644,773-854-5609,"41.8724068,-87.7645297"
24,,2584,AMITA Health Saints Mary and Elizabeth Medical Center Chicago (Saint Mary Campus),amita_health_saints_mary_and_elizabeth_medical_center_chicago_saint_mary_campus,Hospital,General Hospital,2233 West Divison Street,Chicago,60622,312-770-2105,"41.9041405,-87.6825333"
25,,3251,Northwestern Memorial Hospital,northwestern_memorial_hospital,Hospital,General Hospital,251 East Huron Street,Chicago,60611,312-926-6461,"41.893734,-87.6223602"
26,,5637,St. Anthony Hospital,st_anthony_hospital,Hospital,General Hospital,2875 West 19th Street,Chicago,60623,773-484-4470,"41.85527,-87.696823"
27,,1644,Sinai Health System- Mount Sinai Hospital,sinai_health_system_mount_sinai_hospital,Hospital,General Hospital,1500 South Fairfield Avenue,Chicago,60608,773-257-4215,"41.8611382,-87.6928376"
28,,3012,LaRabida Children's Hospital,larabida_children_s_hospital,Hospital,Children's Speciality Care Hospital,6501 South Promontory Drive,Chicago,60649,773-256-5925,"41.776482, -87.570428"
29,,1271,OSF Little Company of Mary Medical Center,osf_little_company_of_mary_medical_center,Hospital,General Hospital,2800 West 95th Street,Evergreen Park,60805,708-229-5205,"41.721951, -87.692048"
30,,2717,Swedish Hospital (Part of NorthShore),swedish_hospital_part_of_northshore,Hospital,General Hospital,5140 North California Avenue,Chicago,60625,"773-878-8200, ext 1889","41.975014,-87.699989"
31,,5314,AMITA Health Saints Mary and Elizabeth Medical Center Chicago (Saint Elizabeth Campus),amita_health_saints_mary_and_elizabeth_medical_center_chicago_saint_elizabeth_campus,Hospital,General Hospital,1431 North Claremont Avenue,Chicago,60622,312-770-2105,"41.9074975,-87.6858571"
32,,1917,Rush University Medical Center,rush_university_medical_center,Hospital,General Hospital,1653 West Congress Parkway,Chicago,60612,312-942-5962,"41.8750991,-87.6680372"
33,,1974,AMITA Health Resurrection Medical Center Chicago,amita_health_resurrection_medical_center_chicago,Hospital,General Hospital,7435 West Talcott Avenue,Chicago,60631,773-792-8725,"41.987434,-87.814407"
34,,2147,Sinai Health System- Schwab Rehabilitation Hospital,sinai_health_system_schwab_rehabilitation_hospital,Hospital,Rehabilitation Hospital,1401 South California Avenue,Chicago,60608,773-257-4215,"41.8624645,-87.6957337"
35,,315,Advocate Christ Medical Center,advocate_christ_medical_center,Hospital,General Hospital,4440 West 95th Street,Oak Lawn,60453,708-684-5765,"41.721957, -87.732137"
36,,5249,Weiss Memorial Hospital,weiss_memorial_hospital,Hospital,General Hospital,4646 North Marine Drive,Chicago,60640,708-783-0309,"41.967236,-87.64959"
37,,5280,University of Illinois Medical Center @ Chicago,university_of_illinois_medical_center_chicago,Hospital,General Hospital,1740 West Taylor Avenue,Chicago,60612,312-996-2559,"41.8692277,-87.6704874"
38,,992,Sinai Health System- Holy Cross Hospital,sinai_health_system_holy_cross_hospital,Hospital,General Hospital,2701 West 68th Street,Chicago,60629,773-884-1602,"41.769085,-87.691109"
